worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
2253549,3174334,248,4,38,0,prodege,CAN,"","",70.71.36.231,,,0,,0.8947,800,1.0
4711962,soso501,0,0,0,0,zoombucks,,,,,,,0,,1.0,0,1.0
6331127,2075828,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6337268,3428059,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6344072,2663096,8,2,8,0,clixsense,CAN,BC,Burnaby,172.218.166.58,,,0,,0.75,480,1.0
6358885,2983924,16,2,9,0,clixsense,HUN,19,Szeged,84.236.38.29,,,0,,0.7778,480,1.0
6430419,3907925,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6450601,3593750,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6714482,4016643,8,3,8,0,clixsense,PRT,14,Torres Vedras,188.81.27.80,,,0,,0.625,0,1.0
7012335,3863614,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
7385617,Rockman54,0,0,0,0,zoombucks,,,,,,,0,,1.0,0,1.0
9017849,4219019,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
9081355,3591586,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11000920,270EE0CC09525A0B0DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11001071,8CFEA18B61F477AABD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11020476,FCC3C77211F16F1A044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11029231,46A89350DAE5D98EAADFB62A30C6BB71,159,5,29,0,neodev,POL,81,Bialystok,31.135.195.188,,,0,,0.8276,540,1.0
11055412,F69949EE517BA2ED93CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11064916,F3412D40364B0E6F2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11081436,FEABFB059144B86841A29D4352C72707,8,0,8,0,neodev,PRT,"","",89.115.145.116,,,0,,1.0,0,1.0
11145864,D03D69CDCD85C23D0DD4E15F98F7C799,320,12,47,0,neodev,ROU,36,Timisoara,86.125.244.203,,,0,,0.7447,749,1.0
11155536,4123746,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11640045,DD2E52FA022205D22BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11746564,2781711,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11821478,4529963,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
12199670,6ADBEDF9ED153CE5DD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
12247137,C3C689B60C6C6C3AAADFB62A30C6BB71,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
13021762,3B4640BE7FAEE9812BFA95FAD8D0CB36,12,1,7,0,neodev,IDN,30,Bandung,36.72.100.152,,,0,,0.8571,300,1.0
13060883,B0BEAA402A54303BDD6A67EA287D2489,23,2,12,0,neodev,SRB,00,Belgrade,213.198.231.229,,,0,,0.8333,225,1.0
13300986,6304857,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
13384747,4713535,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
13540002,4737202,16,1,9,0,clixsense,IND,21,Bargarh,117.200.226.153,,,0,,0.8889,480,1.0
13906457,4793841,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
14073714,590BE2733ABF40B841A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
14311647,4848683,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
15151080,0BA15F8FC69B5F2F2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
15505671,5014565,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
15522262,5016643,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
16323114,5CD0A7CCAFF04D3C2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
16328164,5135829,201,4,34,0,clixsense,PAK,05,Karachi,39.50.194.226,,,0,,0.8824,464,1.0
16592498,21285,0,0,0,0,tremorgames,,,,,,,0,,1.0,0,1.0
16625378,25427,0,0,0,0,tremorgames,,,,,,,0,,1.0,0,1.0
16669322,5180493,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
16703773,2471751,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
16741266,5194903,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
16879965,5214722,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
17101387,166dd98dfbc586828c3fcbd545ad32577a7bddaf,0,0,0,0,coinworker,,,,,,,0,,1.0,0,1.0
17331385,AF882D289E9850A724750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
17428663,553C38801F75C16E93CA06397A287A80,8,2,8,0,neodev,AUT,04,Wels,91.113.2.109,,,0,,0.75,0,1.0
17447431,885511A5CA834E426964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
17863823,5377407,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
17968637,5393260,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18098509,4BBE3624B4870D7C0DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
18438229,656A7D5833ADEC85BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
18863994,5514732,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18876659,A1FE9A2959B26D1324750D543524A854,8,5,8,0,neodev,IDN,30,Tangerang,114.121.157.119,,,0,,0.375,0,1.0
18924258,3475520,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18960682,josparkle,8,3,8,0,instagc,GBR,C9,Carlisle,92.18.207.241,,,0,,0.625,480,1.0
19385277,5603633,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
19420291,5610145,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
19746351,E30696D04A14BD6D0FA9E28369487118,32,1,11,0,neodev,ROU,26,Targu,109.96.32.111,,,0,,0.9091,480,1.0
20161225,5739652,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
20216233,5699734,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
