_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,relevance,relevance:confidence,description,domain,domain_logo_url,link,name,query,relevance_gold,result_position,updatedat
766426640,false,finalized,3,8/5/2015 00:43:28,0,1.0,Estimated gasoline sales data is derived from New York State,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/b2td-v5ix,"Estimated Gasoline Sales, Thousands of Gallons: Beginning 1995",sales tax,,0,None
766426641,false,finalized,3,8/5/2015 00:43:37,"1
0","0.6507
0.3493",Estimated gasoline sales data is derived from New York State,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/hahd-cckp,"Estimated Gasoline Sales, Thousands of Gallons: Beginning 1995",sales tax,,1,None
766426642,false,finalized,3,8/5/2015 00:39:01,"3
2","0.6417
0.3583","The Department of Taxation and Finance administers the statewide New York State general retail sales and compensating use tax, as well as any general retail sales and compensating use tax imposed by a county or municipality in New York State. In addition, the Department administers any taxes imposed on consumer utilities services and other special taxes on selected commodities and services by municipalities and city school districts. This data set presents information on the amount of the distribution of these taxes back to the appropriate taxing jurisdictions during the ten most recent state fiscal years ended March 31. The state’s sales tax is distributed to the state during the same month of collection. Generally, all local sales taxes collected are distributed back to the appropriate taxing jurisdiction in the month subsequent to collection. A large majority of the distributions reflect collections from taxable sales reported and remitted during the preceding month. However, the net distributions also include adjustments for prior taxable sales periods resulting from resolving returns processing exception issues, and are also affected by timing of remittances by sales tax vendors as determined by their annual amount of taxable sales. Local taxing jurisdictions’ fiscal years are not identical to the state fiscal year. Distribution information in this data set is presented by state fiscal year to be consistent with other state tax collection information presented in the Annual Statistical Report of New York State Tax Collections. The sales tax distribution information in this data set can be found in this publication.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/kpm6-xpsr,"State and Local Sales Tax Distributions: Beginning Fiscal Year Ended March 31, 2003",sales tax,,2,None
766426643,false,finalized,3,8/5/2015 00:50:28,"2
3","0.6635
0.3365","These statistics come from more than three million data items reported on about 250,000 sales tax returns filed quarterly and on about 300,000 returns filed annually.  The dataset categorizes quarterly sales and purchases data by industry group using the North American Industry Classification System.   The status of data will change as preliminary data becomes final.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/yfch-hfyv,Taxable Sales And Purchases Quarterly Data: Beginning Sales Tax Year 2013-2014,sales tax,,3,None
766426644,false,finalized,3,8/5/2015 00:44:26,"3
2","0.6491
0.3509","The Department of Taxation and Finance administers the statewide New York State general retail sales and compensating use tax, as well as any general retail sales and compensating use tax imposed by a county or municipality in New York State. In addition, the Department administers any taxes imposed on consumer utilities services and other special taxes on selected commodities and services by municipalities and city school districts. This data set presents information on the amount of the distribution of these taxes back to the appropriate taxing jurisdictions during the ten most recent state fiscal years ended March 31. The state’s sales tax is distributed to the state during the same month of collection. Generally, all local sales taxes collected are distributed back to the appropriate taxing jurisdiction in the month subsequent to collection. A large majority of the distributions reflect collections from taxable sales reported and remitted during the preceding month. However, the net distributions also include adjustments for prior taxable sales periods resulting from resolving returns processing exception issues, and are also affected by timing of remittances by sales tax vendors as determined by their annual amount of taxable sales. Local taxing jurisdictions’ fiscal years are not identical to the state fiscal year. Distribution information in this data set is presented by state fiscal year to be consistent with other state tax collection information presented in the Annual Statistical Report of New York State Tax Collections. The sales tax distribution information in this data set can be found in this publication.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/74wz-hn5m,"State and Local Sales Tax Distributions: Beginning Fiscal Year Ended March 31, 2003",sales tax,,4,None
766426645,false,finalized,3,8/5/2015 00:43:36,0,1.0,DASNY assumed all bonds and notes outstanding from,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/u39d-j27p,MCFFA (Medical Care Facilities Financing Agency) Bonds and Notes: Beginning 1995,assumed names,,0,None
766426646,false,finalized,3,8/5/2015 00:45:18,0,1.0,DASNY assumed all bonds and notes outstanding from,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/jqjz-hgmc,MCFFA (Medical Care Facilities Financing Agency) Bonds and Notes: Beginning 1995,assumed names,,1,None
766426647,false,finalized,3,8/5/2015 00:45:18,0,1.0,DASNY assumed all bonds and notes outstanding from,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/d/c8my-9m8n,MCFFA (Medical Care Facilities Financing Agency) Bonds and Notes: Beginning 1995,assumed names,,2,2014-02-18T19:05:02.000Z
766426648,false,finalized,3,8/5/2015 00:42:07,0,1.0,"This dataset contains a list of events held in Hudson River Park and permitted by Hudson River Park Trust (HRPT), along with the permittee’s name and the name of the entity that paid the permit fee.  Events which do not require a permit are not included.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/gpay-cue6,Public Events Permits in Hudson River Park:  Beginning 2004,assumed names,,3,None
766426649,false,finalized,3,8/5/2015 00:43:08,"0
1","0.6912
0.3088","The name, mailing address and telephone number for the retail establishments and municipalities that sell hunting, fishing, and trapping licenses and associated privileges and permits.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/n5iq-ptxk,Active Sporting License Issuing Agents,assumed names,,4,None
